timestamp,glucose,carbs,insulin
1220,117.6,0.0,0.0
1225,113.4,0.0,0.0
1230,109.7,0.0,0.0
1235,106.3,0.0,0.0
1240,103.1,0.0,0.0
1245,100.1,0.0,0.0
1250,97.6,0.0,0.0
1255,95.8,0.0,0.0
1260,94.7,0.0,0.0
1265,94.4,0.0,0.0
1270,94.5,0.0,0.0
1275,94.9,0.0,0.0
1280,95.2,0.0,0.9
1285,93.7,0.0,0.0
1290,93.4,18.0,0.0
1295,99.1,0.0,0.0
1300,100.8,0.0,0.0
1305,103.1,0.0,0.0
1310,106.2,0.0,0.0
1315,109.8,0.0,0.0
1320,113.5,0.0,0.0
1325,116.9,0.0,0.0
1330,119.7,0.0,0.0
1335,121.7,0.0,0.0
1340,123.1,0.0,0.0
1345,123.8,0.0,0.0
1350,124.2,0.0,0.0
1355,123.9,0.0,0.0
1360,123.2,0.0,0.0
1365,122.1,0.0,0.0
1370,120.5,0.0,0.0
1375,118.4,0.0,0.0
1380,115.8,0.0,0.0
1385,112.9,0.0,0.0
1390,110.0,0.0,0.0
1395,107.7,0.0,0.0
1400,106.0,0.0,0.0
1405,105.2,0.0,0.0
1410,105.0,0.0,0.0
1415,105.1,0.0,0.0
1420,105.3,0.0,0.0
1425,105.4,0.0,0.0
1430,105.2,0.0,0.0
1435,105.0,0.0,0.0
